date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:25	201567/201567	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:55%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Penholder1.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Penholder1.png	(from http://motions.graphics/)
17:08:26	33014/33014	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Feb%202019%2023:44:41%20GMT	http://motions.graphics/wp-content/uploads/2017/07/5-lip-500x500.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/07/5-lip-500x500.jpg	(from http://motions.graphics/)
17:08:26	9780/9780	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/js/scripts-bd5a17a464b1afad103480cebfb70b66.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/js/scripts-bd5a17a464b1afad103480cebfb70b66.js	(from http://motions.graphics/)
17:08:27	1072/1072	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Feb%202019%2020:08:27%20GMT	http://js.hs-scripts.com/3483819.js?integration=wordpress&ver=4.8	C:/Users/Nico/Documents/GitHub/website/js.hs-scripts.com/3483819e507.js	(from http://motions.graphics/)
17:08:27	30477/30477	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Feb%202019%2023:42:41%20GMT	http://motions.graphics/wp-content/uploads/2018/09/MotelNow.00_01_37_23.Still006-500x500.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2018/09/MotelNow.00_01_37_23.Still006-500x500.jpg	(from http://motions.graphics/)
17:08:27	3499/3499	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/min/1/wp-content/themes/lotek/lotek/js/custom-0fc2eb5369e507b4b06c4c2836fb3bb4.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/min/1/wp-content/themes/lotek/lotek/js/custom-0fc2eb5369e507b4b06c4c2836fb3bb4.js	(from http://motions.graphics/)
17:08:28	4000/4000	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/ui/core.min-1.11.4.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/ui/core.min-1.11.4.js	(from http://motions.graphics/)
17:08:28	19075/19075	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min-4.11.2.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min-4.11.2.1.js	(from http://motions.graphics/)
17:08:29	6527/6527	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/ui/position.min-1.11.4.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/ui/position.min-1.11.4.js	(from http://motions.graphics/)
17:08:29	158/158	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Feb%202019%2020:08:30%20GMT	http://code.tidio.co/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.js?ver=3.4.0	C:/Users/Nico/Documents/GitHub/website/code.tidio.co/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.376b00.delayed	(from http://motions.graphics/)
